"1 November","14:42","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"1 November","14:56","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"1 November","13:26","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"1 November","07:14","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"1 November","13:04","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"1 November","13:26","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"2 November","10:52","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"2 November","18:59","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"2 November","19:24","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"2 November","11:38","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"2 November","16:38","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"3 November","16:51","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"3 November","08:37","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"4 November","17:55","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"4 November","12:55","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"5 November","11:06","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"5 November","12:06","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"5 November","23:51","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"5 November","17:30","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"6 November","13:24","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"6 November","18:01","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"7 November","18:09","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"7 November","09:29","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"7 November","12:33","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"7 November","16:08","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"7 November","14:05","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"7 November","10:14","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"8 November","09:26","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Online Taobao","Virtual World","167-7584-3211","taobao@online.com","Ms.Sandy"
"8 November","15:36","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"8 November","15:04","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"9 November","16:42","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"9 November","14:18","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"9 November","10:40","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"9 November","17:48","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"9 November","14:18","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"9 November","18:19","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"9 November","17:25","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"10 November","09:07","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"10 November","15:10","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"10 November","15:50","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"11 November","06:30","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"12 November","11:36","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
